,permno,Quarter,Unnamed: 0_x,date,ret,shrcd,price,me,Unnamed: 0_y,ea_date,fiscal_period,gics_6d,ret_ex_3d,date_diff,doy_diff
68,10421,2021Q3,353.0,2021-09-30,0.0576634183526039,11.0,49.34000015258789,2485749.207687378,1476,2021-07-29,2021-06-30,203020,-0.00128781,0,-2
69,10421,2021Q4,356.0,2021-12-31,0.0033188939560204,11.0,39.29999923706055,1979933.9615631104,1477,2021-10-28,2021-09-30,203020,-0.06044861,0,-2
70,10443,2021Q1,359.0,2021-03-31,0.0903855115175247,11.0,49.220001220703125,462077.37145996094,1529,2021-03-01,2020-12-31,601020,0.00057867414,-2,-4
71,10443,2021Q2,362.0,2021-06-30,-0.0287807695567607,11.0,55.68000030517578,524004.4828720093,1530,2021-05-03,2021-03-31,601020,0.09571652,-2,-4
72,10443,2021Q3,365.0,2021-09-30,-0.030849264934659,11.0,55.91999816894531,526263.1027679443,1531,2021-08-02,2021-06-30,601020,-0.021684939,-2,-4
73,10443,2021Q4,368.0,2021-12-31,-0.014324695803225,11.0,57.79999923706055,543955.7928199768,1532,2021-11-03,2021-09-30,601020,0.07480974,0,-2
74,10516,2021Q1,407.0,2021-03-31,0.0074230851605534,11.0,57.0,31834557.0,1607,2021-01-26,2020-12-31,302020,-0.04532639,-2,-3
75,10516,2021Q2,410.0,2021-06-30,-0.0891327261924743,11.0,60.59999847412109,33857340.3474884,1608,2021-04-27,2021-03-31,302020,0.055734627,-2,-3
76,10516,2021Q3,413.0,2021-09-30,0.0001666386961005,11.0,60.0099983215332,33567552.72112274,1609,2021-07-27,2021-06-30,302020,0.0061584236,-2,-3
77,10516,2021Q4,416.0,2021-12-31,0.0864812284708023,11.0,67.58999633789062,37812615.14126587,1610,2021-10-26,2021-09-30,302020,-0.0153791625,-2,-4
78,10517,2021Q1,419.0,2021-03-31,-0.1341999769210815,11.0,43.290000915527344,2931901.8920059204,1667,2021-02-25,2020-12-31,402020,0.07139938,7,5
79,10517,2021Q2,422.0,2021-06-30,-0.0870637372136116,11.0,48.130001068115234,3259315.542331696,1668,2021-04-29,2021-03-31,402020,0.09082431,-7,-9
80,10517,2021Q3,425.0,2021-09-30,-0.1122147366404533,11.0,42.0099983215332,2793664.888381958,1669,2021-07-29,2021-06-30,402020,-0.04758721,0,-1
81,10517,2021Q4,428.0,2021-12-31,-0.0002215940039604,11.0,45.11000061035156,2949788.049911499,1670,2021-11-03,2021-09-30,402020,0.08348782,6,4
82,10530,2021Q1,431.0,2021-03-31,0.245256170630455,11.0,26.25,1137386.25,1726,2021-02-05,2020-12-31,351010,0.15240157,0,-2
83,10530,2021Q2,434.0,2021-06-30,0.0684007704257965,11.0,22.18000030517578,961569.5532302856,1727,2021-05-07,2021-03-31,351010,0.019593086,0,-2
84,10530,2021Q3,437.0,2021-09-30,-0.0494071133434772,11.0,19.239999771118164,834284.8700752258,1728,2021-08-06,2021-06-30,351010,-0.04350911,0,-2
85,10530,2021Q4,440.0,2021-12-31,0.0246107373386621,11.0,20.399999618530277,887685.5834007263,1729,2021-11-12,2021-09-30,351010,0.074098244,0,-2
86,10547,2021Q1,443.0,2021-03-31,-0.0703486800193786,11.0,30.1299991607666,413775.2784748077,1766,2021-01-28,2020-12-31,452010,-0.068868265,7,5
87,10547,2021Q2,446.0,2021-06-30,-0.0097831552848219,11.0,37.45000076293945,514675.3604850769,1767,2021-04-22,2021-03-31,452010,0.2270967,0,-2
88,10547,2021Q3,449.0,2021-09-30,-0.0256014075130224,11.0,44.150001525878906,606267.8209533691,1768,2021-07-22,2021-06-30,452010,0.18143149,0,-2
89,10547,2021Q4,452.0,2021-12-31,0.3039851784706116,11.0,84.41999816894531,1161788.0148010254,1769,2021-11-04,2021-09-30,452010,0.010713958,1,-1
90,10606,2021Q1,467.0,2021-03-31,0.0413708612322807,11.0,118.80999755859376,3263829.442932129,1844,2021-02-10,2020-12-31,201060,-0.037554696,0,0
91,10606,2021Q2,470.0,2021-06-30,0.073657177388668,11.0,145.91000366210938,4019382.870880127,1845,2021-05-04,2021-03-31,201060,0.021437125,-1,-3
92,10606,2021Q3,473.0,2021-09-30,-0.0202833302319049,11.0,168.08999633789062,4633568.839050293,1846,2021-08-04,2021-06-30,201060,0.051675085,2,0
93,10606,2021Q4,476.0,2021-12-31,0.0289332382380962,11.0,194.1699981689453,5350936.809539795,1847,2021-11-03,2021-09-30,201060,0.03506212,0,-2
94,10629,2021Q1,479.0,2021-03-31,0.0836855322122573,11.0,12.699999809265137,4083342.0386743546,1905,2021-01-19,2020-12-31,401010,-0.0268455,0,-2
95,10629,2021Q2,482.0,2021-06-30,-0.0805369094014167,11.0,12.329999923706056,3938017.025632858,1906,2021-04-19,2021-03-31,401010,-0.00673269,-3,-5
96,10629,2021Q3,485.0,2021-09-30,0.0051369499415159,11.0,11.619999885559082,3712810.743433952,1907,2021-07-19,2021-06-30,401010,0.0077196998,4,2
97,10629,2021Q4,488.0,2021-12-31,0.0506003648042678,11.0,12.130000114440918,3868596.676498413,1908,2021-10-18,2021-09-30,401010,0.014961561,-1,-2
98,10693,2021Q1,527.0,2021-03-31,0.0216310173273086,11.0,81.9000015258789,8129885.551467895,2072,2021-01-26,2020-12-31,351020,-0.042429183,-9,-11
99,10693,2021Q2,530.0,2021-06-30,-0.0871896743774414,11.0,78.02999877929688,7767262.1384887695,2073,2021-04-27,2021-03-31,351020,-0.037861142,-1,-2
100,10693,2021Q3,533.0,2021-09-30,-0.0398979745805263,11.0,75.04000091552734,7466780.251098633,2074,2021-07-27,2021-06-30,351020,0.014057806,0,-1
101,10693,2021Q4,536.0,2021-12-31,0.1374523341655731,11.0,65.26000213623047,6492848.132537842,2075,2021-10-27,2021-09-30,351020,-0.06235247,-1,-2
102,10696,2021Q1,539.0,2021-03-31,0.0318106785416603,11.0,119.04000091552734,79352064.61029053,2132,2021-02-09,2020-12-31,451020,-0.037111294,5,5
103,10696,2021Q2,542.0,2021-06-30,-0.0721353963017463,11.0,106.88999938964844,70654289.59655762,2133,2021-04-27,2021-03-31,451020,-0.023259062,-9,-11
104,10696,2021Q3,545.0,2021-09-30,-0.0788691788911819,11.0,108.5,71610000.0,2134,2021-07-27,2021-06-30,451020,0.020918395,-8,-10
105,10696,2021Q4,548.0,2021-12-31,0.075321227312088,11.0,103.79000091552734,67463500.59509277,2135,2021-10-27,2021-09-30,451020,-0.11483101,1,-1
106,10777,2021Q1,551.0,2021-03-31,0.1332854479551315,11.0,835.77001953125,7363969.642089844,2189,2021-01-26,2020-12-31,401010,-0.07331169,0,-3
107,10777,2021Q2,554.0,2021-06-30,-0.0323727466166019,11.0,832.739990234375,7337272.053955078,2190,2021-04-28,2021-03-31,401010,-0.046708938,1,-1
108,10777,2021Q3,557.0,2021-09-30,-0.0607441551983356,11.0,843.1699829101562,7429170.719421387,2191,2021-08-03,2021-06-30,401010,0.042254116,7,5
109,10777,2021Q4,560.0,2021-12-31,0.0321650393307209,11.0,829.8400268554688,7311720.476623535,2192,2021-10-27,2021-09-30,401010,-0.003779999,8,-1
110,10781,2021Q1,575.0,2021-03-31,0.2811791896820068,11.0,22.600000381469727,124865.00210762024,2242,2021-01-14,2020-12-31,401010,0.0004988921,7,5
111,10781,2021Q2,578.0,2021-06-30,0.0224439296871423,11.0,20.5,113447.0,2243,2021-04-15,2021-03-31,401010,0.052926354,0,0
112,10781,2021Q3,581.0,2021-09-30,-0.0289156809449195,11.0,20.149999618530277,111570.54788780212,2244,2021-07-08,2021-06-30,401010,-0.0036472504,0,-2
113,10781,2021Q4,584.0,2021-12-31,0.0232622642070055,11.0,20.5,113590.5,2245,2021-10-14,2021-09-30,401010,-0.0041140765,7,5
114,10812,2021Q1,587.0,2021-03-31,0.0769230276346206,11.0,19.57999992370605,1564539.8939037323,2298,2021-01-19,2020-12-31,203040,0.028274374,-2,-5
115,10812,2021Q2,590.0,2021-06-30,-0.0550964437425136,11.0,17.1299991607666,1368909.6229343414,2299,2021-04-21,2021-03-31,203040,-0.025784135,1,-1
116,10812,2021Q3,593.0,2021-09-30,-0.0452920272946357,11.0,16.020000457763672,1264666.8961372375,2300,2021-07-19,2021-06-30,203040,-0.020004593,4,2
117,10812,2021Q4,596.0,2021-12-31,0.0059737111441791,11.0,16.81999969482422,1327484.8359146118,2301,2021-10-15,2021-09-30,203040,0.0076911566,1,-14
118,10860,2021Q1,599.0,2021-03-31,0.1009433642029762,11.0,11.670000076293944,839726.5254898071,2386,2021-03-01,2020-12-31,351010,0.02275949,12,10
119,10860,2021Q2,602.0,2021-06-30,0.0551509596407413,11.0,10.140000343322754,730161.1447219849,2387,2021-05-05,2021-03-31,351010,0.115776315,0,-2
120,10860,2021Q3,605.0,2021-09-30,0.0328767672181129,11.0,11.3100004196167,814749.8102283478,2388,2021-08-03,2021-06-30,351010,0.02545463,-1,-3
121,10860,2021Q4,608.0,2021-12-31,-0.0685959681868553,11.0,8.6899995803833,626279.5797586441,2389,2021-11-03,2021-09-30,351010,-0.08939727,0,-2
122,10874,2021Q1,623.0,2021-03-31,0.0792123973369598,11.0,95.37000274658205,7436189.854156494,2442,2021-01-28,2020-12-31,252020,-0.02741572,0,-2
123,10874,2021Q2,626.0,2021-06-30,-0.0255306717008352,11.0,99.62000274658205,7760198.973953247,2443,2021-04-29,2021-03-31,252020,0.020036211,0,-2
124,10874,2021Q3,629.0,2021-09-30,-0.0165170449763536,11.0,95.2699966430664,7383329.469841003,2444,2021-07-29,2021-06-30,252020,0.054041766,0,-2
125,10874,2021Q4,632.0,2021-12-31,0.0726227164268493,11.0,100.7300033569336,7765779.608802795,2445,2021-10-28,2021-09-30,252020,0.017320978,0,-2
126,10890,2021Q1,647.0,2021-03-31,0.0354379154741764,11.0,25.420000076293945,1602553.0648097992,2515,2021-02-22,2020-12-31,451020,-0.0921423,-1,-3
127,10890,2021Q2,650.0,2021-06-30,-0.0155581338331103,11.0,25.309999465942383,1696326.7842063904,2516,2021-05-06,2021-03-31,451020,-0.011144867,9,7
128,10890,2021Q3,653.0,2021-09-30,0.038413893431425,11.0,25.13999938964844,1687296.1990356443,2517,2021-08-02,2021-06-30,451020,0.030901864,-1,-3
129,10890,2021Q4,656.0,2021-12-31,0.1327092498540878,11.0,20.56999969482422,1381316.619506836,2518,2021-11-02,2021-09-30,451020,-0.20447624,8,5
130,10892,2021Q1,659.0,2021-03-31,-0.0630409941077232,11.0,49.790000915527344,2365124.62348938,2573,2021-01-25,2020-12-31,401020,-0.02399101,6,4
131,10892,2021Q2,662.0,2021-06-30,-0.1244126856327057,11.0,46.59000015258789,2214655.6572532654,2574,2021-04-22,2021-03-31,401020,0.013797489,-5,-6
132,10892,2021Q3,665.0,2021-09-30,0.1299273669719696,11.0,51.310001373291016,2439687.945297241,2575,2021-07-22,2021-06-30,401020,-0.019626461,0,-2
133,10892,2021Q4,668.0,2021-12-31,0.0080450056120753,11.0,50.119998931884766,2386163.029148102,2576,2021-10-21,2021-09-30,401020,0.010830174,0,-2
134,10901,2021Q1,671.0,2021-03-31,0.0966593846678733,11.0,166.0,314404.0,2632,2021-02-15,2020-12-31,403010,,4,4
135,10901,2021Q2,674.0,2021-06-30,-0.0154632898047566,11.0,174.6300048828125,330749.2292480469,2633,2021-05-05,2021-03-31,403010,0.012447294,0,-1
136,10901,2021Q3,677.0,2021-09-30,-0.0482643321156501,11.0,182.6000061035156,345844.4115600586,2634,2021-08-04,2021-06-30,403010,0.090450354,0,-1
137,10901,2021Q4,680.0,2021-12-31,-0.0872685462236404,11.0,197.1499938964844,373599.2384338379,2635,2021-11-04,2021-09-30,403010,0.11517166,0,-1
138,10909,2021Q1,683.0,2021-03-31,0.0396297052502632,11.0,71.87999725341797,21632213.293418884,2691,2021-02-10,2020-12-31,351030,-0.034107342,6,6
139,10909,2021Q2,686.0,2021-06-30,0.0016613886691629,11.0,78.16000366210938,23407357.89672852,2692,2021-05-05,2021-03-31,351030,-0.01482936,8,6
140,10909,2021Q3,689.0,2021-09-30,-0.0734774321317672,11.0,70.5199966430664,20898036.845199585,2693,2021-07-30,2021-06-30,351030,0.018105296,2,0
141,10909,2021Q4,692.0,2021-12-31,0.3220724761486053,11.0,92.87000274658205,27196980.304336548,2694,2021-10-29,2021-09-30,351030,0.08718232,2,0
142,10932,2021Q1,695.0,2021-03-31,-0.0036159963347017,11.0,55.11000061035156,4983542.245193481,2790,2021-01-21,2020-12-31,401010,-0.0052976026,0,-2
143,10932,2021Q2,698.0,2021-06-30,-0.0589273124933242,11.0,53.34000015258789,4823002.813796997,2791,2021-04-20,2021-03-31,401010,-0.09017375,-2,-2
144,10932,2021Q3,701.0,2021-09-30,0.0779888853430748,11.0,54.459999084472656,4933640.237060547,2792,2021-07-22,2021-06-30,401010,-0.000389661,0,-2
145,10932,2021Q4,704.0,2021-12-31,0.036184836179018,11.0,55.84000015258789,5058489.773822784,2793,2021-10-21,2021-09-30,401010,-0.0041340385,0,-2
146,10933,2021Q1,707.0,2021-03-31,0.0466751866042614,11.0,1139.6199951171875,15699405.052734377,2850,2021-02-02,2020-12-31,403010,0.05199579,0,-2
147,10933,2021Q2,710.0,2021-06-30,-0.0316445082426071,11.0,1186.7099609375,16326755.642578123,2851,2021-04-28,2021-03-31,403010,-0.024436807,1,-1
148,10933,2021Q3,713.0,2021-09-30,-0.0591379627585411,11.0,1195.1300048828125,16403159.317016602,2852,2021-08-03,2021-06-30,403010,0.003184926,7,5
149,10933,2021Q4,716.0,2021-12-31,0.0327915959060192,11.0,1234.0,16866312.0,2853,2021-11-02,2021-09-30,403010,-0.008333822,7,5
153,11006,2021Q1,743.0,2021-03-31,0.1539289653301239,11.0,21.25,505388.75,2964,2021-01-29,2020-12-31,401010,0.028079879,1,-1
154,11006,2021Q2,746.0,2021-06-30,-0.0564444661140441,11.0,21.229999542236328,503044.8391532898,2965,2021-04-29,2021-03-31,401010,0.001579756,0,-2
155,11006,2021Q3,749.0,2021-09-30,-0.0283019039779901,11.0,20.600000381469727,486283.6090049744,2966,2021-07-29,2021-06-30,401010,-0.0072488557,0,-2
156,11006,2021Q4,752.0,2021-12-31,0.0305488966405391,11.0,21.59000015258789,501773.1935462952,2967,2021-10-28,2021-09-30,401010,0.006405538,0,-2
157,11018,2021Q1,755.0,2021-03-31,0.0734032839536666,11.0,11.260000228881836,2457258.589948654,2998,2021-01-29,2020-12-31,401010,0.049984984,3,1
