,permno,Quarter,Unnamed: 0_x,date,ret,shrcd,price,me,Unnamed: 0_y,ea_date,fiscal_period,gics_6d,ret_ex_3d,date_diff,doy_diff,weekday,most_popular_weekday,fraction_on_most_popular_weekday,quantile_group,fraction_of_zeros
253,11664,2021Q4,1267.0,2021-12-31,0.0094707561656832,11.0,36.2400016784668,1981712.0117836,4704,2021-11-04,2021-09-30,402020,0.012081958,1,-1,Thursday,Monday,0.25,below_median,0.25
254,11674,2021Q1,1270.0,2021-03-31,0.1402055621147156,11.0,133.13999938964844,25792812.661758423,4760,2021-02-19,2020-12-31,551030,0.015045911,15,14,Friday,Tuesday,0.5,above_median,0.0
255,11674,2021Q2,1273.0,2021-06-30,-0.0529386103153228,11.0,129.60000610351562,25107020.38241577,4761,2021-04-27,2021-03-31,551030,-0.01068586,-1,-2,Tuesday,Tuesday,0.5,below_median,0.0
256,11674,2021Q3,1276.0,2021-09-30,-0.0648578852415084,11.0,111.70999908447266,21644035.742614742,4762,2021-07-27,2021-06-30,551030,0.009903756,-1,-2,Tuesday,Tuesday,0.5,below_median,0.0
257,11674,2021Q4,1279.0,2021-12-31,0.1115470305085182,11.0,119.54000091552734,23158125.75736237,4763,2021-10-27,2021-09-30,551030,-0.00803921,1,-1,Wednesday,Tuesday,0.5,below_median,0.0
264,11731,2021Q1,1306.0,2021-03-31,0.0584439970552921,11.0,83.47000122070312,2566702.537536621,5011,2021-02-10,2020-12-31,201060,-0.044454545,2,0,Wednesday,Monday,0.75,above_median,0.0
265,11731,2021Q2,1309.0,2021-06-30,0.0012311546597629,11.0,89.26000213623047,2740282.0655822754,5012,2021-04-26,2021-03-31,201060,0.0074745766,-3,-4,Monday,Monday,0.75,above_median,0.0
266,11731,2021Q3,1312.0,2021-09-30,-0.0160857792943716,11.0,76.87000274658203,2364751.894493103,5013,2021-07-26,2021-06-30,201060,0.040643033,-2,-4,Monday,Monday,0.75,above_median,0.0
267,11731,2021Q4,1315.0,2021-12-31,0.095514602959156,11.0,88.44999694824219,2864010.901184082,5014,2021-10-25,2021-09-30,201060,0.0031069217,-2,-4,Monday,Monday,0.75,above_median,0.0
268,11748,2021Q1,1318.0,2021-03-31,0.1267151534557343,11.0,13.960000038146973,449785.85161972046,5063,2021-02-23,2020-12-31,403010,0.016072003,1,-1,Tuesday,Tuesday,0.5,below_median,0.25
269,11748,2021Q2,1321.0,2021-06-30,-0.0573966614902019,11.0,13.795000076293944,450174.39760780334,5064,2021-04-26,2021-03-31,403010,0.0093747,-1,-3,Monday,Tuesday,0.5,below_median,0.25
270,11748,2021Q3,1324.0,2021-09-30,-0.071895383298397,11.0,14.200000762939451,451542.9283733368,5065,2021-07-27,2021-06-30,403010,0.0037597797,1,-1,Tuesday,Tuesday,0.5,below_median,0.25
271,11748,2021Q4,1327.0,2021-12-31,0.0548159591853618,11.0,13.470000267028809,443146.8505067825,5066,2021-10-27,2021-09-30,403010,-0.03241879,0,-2,Wednesday,Tuesday,0.5,below_median,0.25
272,11752,2021Q1,1330.0,2021-03-31,-0.1889679729938507,11.0,68.37000274658203,7170645.888061523,5127,2021-02-09,2020-12-31,452030,0.046223722,0,-1,Tuesday,Tuesday,0.75,below_median,0.25
273,11752,2021Q2,1333.0,2021-06-30,0.0774824619293212,11.0,72.58999633789062,7657228.35369873,5128,2021-05-06,2021-03-31,452030,-0.011208082,-4,-6,Thursday,Tuesday,0.75,above_median,0.25
274,11752,2021Q3,1336.0,2021-09-30,-0.0574785470962524,11.0,59.36000061035156,6299876.864776611,5129,2021-08-10,2021-06-30,452030,-0.044475596,-2,-4,Tuesday,Tuesday,0.75,above_median,0.25
275,11752,2021Q4,1339.0,2021-12-31,0.092755526304245,11.0,68.33000183105469,7256646.194458008,5130,2021-11-09,2021-09-30,452030,0.02894453,5,3,Tuesday,Tuesday,0.75,above_median,0.25
276,11775,2021Q2,1357.0,2021-06-30,-0.0097389509901404,11.0,121.0,1077747.0,5188,2021-05-07,2021-03-31,252020,-0.06472693,0,1,Friday,Friday,0.6666666666666666,below_median,0.3333333333333333
